sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
28 de Mayo de 1995;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;Censo electoral;945.105;;100,00;;;;;;;;;;;;;
;Votos emitidos;652.640;;69,05;;;;;;;;;;;;;
;Abstención;292.465;;30,95;;;;;;;;;;;;;
;Votos emitidos;652.640;;69,05;;;;;;;;;;;;;
;Votos a candidaturas;641.165;;67,84;;;;;;;;;;;;;
;Votos en blanco;7.655;;0,81;;;;;;;;;;;;;
;Votos nulos;3.820;;0,40;;;;;;;;;;;;;
;Votos válidos;648.820;100,00;68,65;;;;;;;;;;;;;
;Partido Popular;272.495;42,00;28,83;21;;;;;;;;;;;;
;Partido Socialista Obrero Español;219.527;33,83;23,23;17;;;;;;;;;;;;
;Izquierda Unida;106.538;16,42;11,27;6;;;;;;;;;;;;
;Partíu Asturianista;20.669;3,19;2,19;1;;;;;;;;;;;;
;Centristas Asturianos;11.555;1,78;1,22;;;;;;;;;;;;;
;Los Verdes de Asturias;4.504;0,69;0,48;;;;;;;;;;;;;
;Liga Asturiana;1.959;0,30;0,21;;;;;;;;;;;;;
;Andecha Astur;1.948;0,30;0,21;;;;;;;;;;;;;
;Partido Comunista de los Pueblos de España;1.108;0,17;0,12;;;;;;;;;;;;;
;Conceyu Astur;862;0,13;0,09;;;;;;;;;;;;;
;En blanco;7.655;1,18;0,81;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 1995;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
;Última actualización: 17/07/2002;;;;;;;;;;;;;;;;
