sadei;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;
22 de Mayo de 2011;;;;;;;;;;;;;;;;
ASTURIAS;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Diputados a elegir;;;;45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Censo electoral;987.305;;100,00;;;;;;;;;;;;;
Votos emitidos;609.072;;61,69;;;;;;;;;;;;;
Abstención;378.233;;38,31;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos emitidos;609.072;;61,69;;;;;;;;;;;;;
Votos a candidaturas;584.663;;59,22;;;;;;;;;;;;;
Votos en blanco;15.611;;1,58;;;;;;;;;;;;;
Votos nulos;8.798;;0,89;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos válidos;600.274;100,00;60,80;;;;;;;;;;;;;
Partido Socialista Obrero Español (PSOE);179.619;29,92;18,19;15;;;;;;;;;;;;
Foro de Ciudadanos (FAC);178.031;29,66;18,03;16;;;;;;;;;;;;
Partido Popular (PP);119.767;19,95;12,13;10;;;;;;;;;;;;
Izquierda Unida de Asturias-Los Verdes d’Asturies (IU-LOS VERDES);61.703;10,28;6,25;4;;;;;;;;;;;;
Unión Progreso y Democracia (UPyD);14.640;2,44;1,48;;;;;;;;;;;;;
Independientes de Asturias (IDEAS);6.380;1,06;0,65;;;;;;;;;;;;;
Bloque por Asturies-UNA: Compromisu por Asturies (BLOQUE POR ASTURIES-UNA);6.191;1,03;0,63;;;;;;;;;;;;;
Frente De La Izquierda (FDLI);4.598;0,77;0,47;;;;;;;;;;;;;
Los Verdes - Grupo Verde (LV-GV);3.626;0,60;0,37;;;;;;;;;;;;;
Unión Renovadora Asturiana-Partiu Asturianista (URAS-PAS);2.953;0,49;0,30;;;;;;;;;;;;;
Partido Antitaurino Contra el Maltrato Animal (PACMA);1.950;0,32;0,20;;;;;;;;;;;;;
Partido Comunista de los Pueblos de España (PCPE);1.434;0,24;0,15;;;;;;;;;;;;;
Conceyu Abierto (CONCEYU ABIERTO);1.421;0,24;0,14;;;;;;;;;;;;;
Partido Democrático y Constitucional (PDYC);1.034;0,17;0,10;;;;;;;;;;;;;
Democracia Nacional (DN);711;0,12;0,07;;;;;;;;;;;;;
Alternativa Liberal Social (ALS);334;0,06;0,03;;;;;;;;;;;;;
Frente Nacional-MSR (FrN-MSR);260;0,04;0,03;;;;;;;;;;;;;
Unificación Comunista España (UCE);11;0,00;0,00;;;;;;;;;;;;;
Votos en blanco;15.611;2,60;1,58;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Año de referencia: 2011;;;;;;;;;;;;;;;;
Fuente: Ministerio del Interior. Elaborado por SADEI;;;;;;;;;;;;;;;;
Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
Última actualización: 15/06/2012;;;;;;;;;;;;;;;;
