sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
10 de Junio de 1987;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;Censo electoral;868.611;;100,00;;;;;;;;;;;;;
;Votos emitidos;580.436;;66,82;;;;;;;;;;;;;
;Abstención;288.175;;33,18;;;;;;;;;;;;;
;Votos emitidos;580.436;;66,82;;;;;;;;;;;;;
;Votos a candidaturas;565.255;;65,08;;;;;;;;;;;;;
;Votos en blanco;7.066;;0,81;;;;;;;;;;;;;
;Votos nulos;8.115;;0,93;;;;;;;;;;;;;
;Votos válidos;572.321;100,00;65,89;;;;;;;;;;;;;
;Partido Socialista Obrero Español;222.326;38,85;25,60;20;;;;;;;;;;;;
;Alianza Popular;144.379;25,23;16,62;13;;;;;;;;;;;;
;Centro Democrático y Social;106.155;18,55;12,22;8;;;;;;;;;;;;
;Izquierda Unida;69.175;12,09;7,96;4;;;;;;;;;;;;
;Partíu Asturianista;7.302;1,28;0,84;;;;;;;;;;;;;
;Partido de los Trabajadores - Unidad Comunista;4.862;0,85;0,56;;;;;;;;;;;;;
;Partido Demócrata Popular;3.591;0,63;0,41;;;;;;;;;;;;;
;Ensame Nacionalista Astur;2.800;0,49;0,32;;;;;;;;;;;;;
;Partido Socialista de los Trabajadores;2.473;0,43;0,28;;;;;;;;;;;;;
;Partido Humanista;1.243;0,22;0,14;;;;;;;;;;;;;
;Falange Española de las JONS;949;0,17;0,11;;;;;;;;;;;;;
;En blanco;7.066;1,23;0,81;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 1987;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
;Última actualización: 17/07/2002;;;;;;;;;;;;;;;;
