sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
25 de Mayo de 2003;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Censo electoral;976.104;;100,00;;;;;;;;;;;;;
;Votos emitidos;623.149;;63,84;;;;;;;;;;;;;
;Abstención;352.955;;36,16;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
;Votos emitidos;623.149;;63,84;;;;;;;;;;;;;
;Votos a candidaturas;604.573;;61,94;;;;;;;;;;;;;
;Votos en blanco;14.143;;1,45;;;;;;;;;;;;;
;Votos nulos;4.433;;0,45;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
;Votos válidos;618.716;100,00;63,39;;;;;;;;;;;;;
;Partido Socialista Obrero Español (PSOE);250.474;40,48;25,66;22;;;;;;;;;;;;
;Partido Popular (PP);242.396;39,18;24,83;19;;;;;;;;;;;;
;Izquierda Unida - Bloque por Asturies (IU-BLOQUE);68.360;11,05;7,00;4;;;;;;;;;;;;
;Unión Renovadora Asturiana (URAS);17.552;2,84;1,80;;;;;;;;;;;;;
;Partíu Asturianista (PAS);11.376;1,84;1,17;;;;;;;;;;;;;
;Los Verdes de Asturies (VERDES);6.561;1,06;0,67;;;;;;;;;;;;;
;Andecha Astur (AA);3.821;0,62;0,39;;;;;;;;;;;;;
;Plataforma Defensa Tercera Edad (PLA.DE.TE.);1.297;0,21;0,13;;;;;;;;;;;;;
;Partido Comunista de los Publos de España (PCPE);1.211;0,20;0,12;;;;;;;;;;;;;
;Centro Democrático y Social (CDS);642;0,10;0,07;;;;;;;;;;;;;
;Conceyu Astur (CONCEYU);524;0,08;0,05;;;;;;;;;;;;;
;Convergencia Democrática Asturiana (CDAS);359;0,06;0,04;;;;;;;;;;;;;
;En blanco;14.143;2,29;1,45;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 2003;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Provisionales;;;;;;;;;;;;;;;;
;Última actualización: 01/07/2003;;;;;;;;;;;;;;;;
