sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
26 de Mayo de 1991;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;Censo electoral;913.215;;100,00;;;;;;;;;;;;;
;Votos emitidos;535.967;;58,69;;;;;;;;;;;;;
;Abstención;377.248;;41,31;;;;;;;;;;;;;
;Votos emitidos;535.967;;58,69;;;;;;;;;;;;;
;Votos a candidaturas;525.414;;57,53;;;;;;;;;;;;;
;Votos en blanco;6.533;;0,72;;;;;;;;;;;;;
;Votos nulos;4.020;;0,44;;;;;;;;;;;;;
;Votos válidos;531.947;100,00;58,25;;;;;;;;;;;;;
;Partido Socialista Obrero Español;218.193;41,02;23,89;21;;;;;;;;;;;;
;Partido Popular;161.703;30,40;17,71;15;;;;;;;;;;;;
;Izquierda Unida;78.982;14,85;8,65;6;;;;;;;;;;;;
;Centro Democrático y Social;35.884;6,75;3,93;2;;;;;;;;;;;;
;Coalición Asturiana;14.569;2,74;1,60;1;;;;;;;;;;;;
;Los Verdes;7.299;1,37;0,80;;;;;;;;;;;;;
;Trabajadoras Gijonesas Confecciones;2.678;0,50;0,29;;;;;;;;;;;;;
;Conceyu Independiente d'Asturies;1.938;0,36;0,21;;;;;;;;;;;;;
;Partido Comunista de los Pueblos de España;1.768;0,33;0,19;;;;;;;;;;;;;
;Union del Pueblo Asturiano;1.263;0,24;0,14;;;;;;;;;;;;;
;Andecha Astur;1.137;0,21;0,12;;;;;;;;;;;;;
;En blanco;6.533;1,23;0,72;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 1991;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
;Última actualización: 17/07/2002;;;;;;;;;;;;;;;;
