Anio_Electoral;C.A.;Codigo_Municipio;Municipio;Distrito;Seccion;Mesa;Censo;Votos_Emitidos;Votos_Nulos;Votos_en_blanco;Votos_Validos;Porc_Escrutado;AP-ALIANZA_POPULAR_P.DEMOCRATA;AP-FEDERACION_PARTIDOS_DE_ALIA;PP-PARTIDO_POPULAR;PP-PARTIDO_POPULAR_DE_LA_RIOJA;PSOE-PARTIDO_SOCIALISTA_OBRERO;PR-PARTIDO_RIOJANO;PR-PARTIDO_RIOJANO_PROGRESISTA;PRx-PARTIDO_RIOJANO;PRxE-PARTIDO_RIOJANO_x_ESPANA_;I.U.-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA_LA_RIOJA;PCE-PARTIDO_COMUNISTA_DE_ESPAN;MASH-MOVIMIENTO_AL_SOCIALISMO_;MASH-MVTO_AL_SOCIALISMO_HUMANI;VERDES-LOS_VERDES;VERDES-LOS_VERDES_DE_LA_RIOJA;AR.-ALTERNATIVA_RIOJANA;IZQ.-COALICION_ELECTORAL_IZQ_-;CDS-CENTRO_DEMOCRATICO_Y_SOCIA;PTE-UC-P.TRABAJADORES_ESPANA-U;PDP-PARTIDO_DEMOCRATA_POPULAR;P.C.P.E.-PARTIDO_COMUNISTA_LOS;PCPE-PARTIDO_COMUNISTA_LOS_PUE;PUMxJ-POR_UN_MUNDO_MAS_JUSTO;UPYD-UNION_PROGRESO_Y_DEMOCRAC;UPyD-UNION_PROGRESO_Y_DEMOCRAC_1;ECOLO-VERDE-COALICION_VERDES_D;PACMA-ANTITAURINO_CONTRA_MALTR;PACMA-PART._ANIMALISTA_CONTRA_;PACMA-PARTIDO_ANIMALISTA_CON_E;PACMA-PARTIDO_ANIMALISTA_CONTR;Cs-CIUDADANOS-PARTIDO_DE_LA_CI;PODEMOS-PODEMOS;PODEMOS-I.U.-PODEMOS-IZQUIERDA;PODEMOS-IU-EQUO-UNIDAS_PODEMOS;CR-IU-EQUO-CAMBIA_LA_RIOJA-IU-;EB-PARTIDO_ESCANOS_EN_BLANCO;ESCANOS_EN_BLANCO-ESCANOS_EN_B;VOX-VOX;VINEA-VINEA_La_Rioja;PLRi-POR_LA_RIOJA;p43;p44;p45;p46;p47;p48;p49;p50
2023;La Rioja;11;Alfaro;01;002;B;657;416;6;6;410;100.0;;;191;;143;;;;3;;;;;;;;;;;;;;;;;;;;;;0;;4;;29;;;;0;29;1;4;;;;;;;;
2023;La Rioja;11;Alfaro;01;003;A;359;245;4;1;241;100.0;;;120;;85;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;1;;11;;;;1;16;0;2;;;;;;;;
2023;La Rioja;11;Alfaro;01;003;B;419;291;4;0;287;100.0;;;165;;99;;;;4;;;;;;;;;;;;;;;;;;;;;;0;;1;;8;;;;1;9;0;0;;;;;;;;
2023;La Rioja;11;Alfaro;02;001;A;556;390;15;5;375;100.0;;;200;;119;;;;5;;;;;;;;;;;;;;;;;;;;;;0;;2;;19;;;;2;19;0;4;;;;;;;;
2023;La Rioja;11;Alfaro;02;001;B;495;369;10;6;359;100.0;;;195;;103;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;2;;12;;;;0;25;0;12;;;;;;;;
2023;La Rioja;11;Alfaro;02;002;A;468;294;4;3;290;100.0;;;130;;108;;;;6;;;;;;;;;;;;;;;;;;;;;;0;;1;;27;;;;1;10;0;4;;;;;;;;
2023;La Rioja;11;Alfaro;02;002;B;537;344;8;4;336;100.0;;;158;;125;;;;5;;;;;;;;;;;;;;;;;;;;;;3;;1;;17;;;;0;18;0;5;;;;;;;;
2023;La Rioja;11;Alfaro;02;003;A;498;359;7;4;352;100.0;;;187;;103;;;;6;;;;;;;;;;;;;;;;;;;;;;0;;1;;17;;;;0;29;0;5;;;;;;;;
2023;La Rioja;11;Alfaro;02;003;B;673;476;11;8;465;100.0;;;254;;140;;;;9;;;;;;;;;;;;;;;;;;;;;;3;;3;;16;;;;1;25;1;5;;;;;;;;
2023;La Rioja;11;Alfaro;02;003;C;581;438;6;13;432;100.0;;;229;;129;;;;10;;;;;;;;;;;;;;;;;;;;;;5;;0;;19;;;;0;23;0;4;;;;;;;;
2023;La Rioja;12;Almarza De Cameros;01;001;U;33;31;0;1;31;100.0;;;18;;12;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;0;0;0;;;;;;;;
2023;La Rioja;13;Anguciana;01;001;U;345;266;9;4;257;100.0;;;129;;69;;;;5;;;;;;;;;;;;;;;;;;;;;;1;;3;;7;;;;2;26;0;11;;;;;;;;
2023;La Rioja;14;Anguiano;01;001;U;433;331;6;3;325;100.0;;;117;;121;;;;47;;;;;;;;;;;;;;;;;;;;;;0;;1;;17;;;;1;17;0;1;;;;;;;;
2023;La Rioja;15;Arenzana De Abajo;01;001;U;193;156;2;3;154;100.0;;;95;;31;;;;4;;;;;;;;;;;;;;;;;;;;;;1;;0;;3;;;;1;10;0;6;;;;;;;;
2023;La Rioja;16;Arenzana De Arriba;01;001;U;30;26;2;1;24;100.0;;;9;;12;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;1;0;1;;;;;;;;
2023;La Rioja;17;Arnedillo;01;001;U;357;278;3;5;275;100.0;;;75;;147;;;;6;;;;;;;;;;;;;;;;;;;;;;1;;0;;28;;;;1;9;1;2;;;;;;;;
2023;La Rioja;18;Arnedo;01;001;U;672;458;9;3;449;100.0;;;179;;174;;;;31;;;;;;;;;;;;;;;;;;;;;;0;;3;;26;;;;3;23;2;5;;;;;;;;
2023;La Rioja;18;Arnedo;01;002;A;470;299;3;3;296;100.0;;;91;;141;;;;22;;;;;;;;;;;;;;;;;;;;;;2;;0;;16;;;;0;14;4;3;;;;;;;;
2023;La Rioja;18;Arnedo;01;002;B;507;293;1;1;292;100.0;;;79;;145;;;;14;;;;;;;;;;;;;;;;;;;;;;1;;0;;25;;;;1;16;2;8;;;;;;;;
2023;La Rioja;18;Arnedo;01;004;U;753;538;7;10;531;100.0;;;230;;196;;;;27;;;;;;;;;;;;;;;;;;;;;;0;;0;;25;;;;0;28;4;11;;;;;;;;
2023;La Rioja;18;Arnedo;02;001;A;507;400;8;6;392;100.0;;;173;;148;;;;12;;;;;;;;;;;;;;;;;;;;;;1;;2;;21;;;;0;17;5;7;;;;;;;;
2023;La Rioja;18;Arnedo;02;001;B;487;371;5;8;366;100.0;;;123;;166;;;;15;;;;;;;;;;;;;;;;;;;;;;2;;0;;24;;;;1;16;2;9;;;;;;;;
2023;La Rioja;18;Arnedo;02;002;A;647;492;9;6;483;100.0;;;215;;190;;;;21;;;;;;;;;;;;;;;;;;;;;;0;;2;;22;;;;1;13;5;8;;;;;;;;
2023;La Rioja;18;Arnedo;02;002;B;612;478;4;7;474;100.0;;;193;;203;;;;20;;;;;;;;;;;;;;;;;;;;;;5;;0;;17;;;;2;21;4;2;;;;;;;;
2023;La Rioja;18;Arnedo;02;003;A;386;291;2;2;289;100.0;;;152;;85;;;;9;;;;;;;;;;;;;;;;;;;;;;1;;1;;12;;;;0;17;2;8;;;;;;;;
2023;La Rioja;18;Arnedo;02;003;B;495;368;4;5;364;100.0;;;157;;143;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;11;;0;;;;11;13;19;3;;;;;;;;
2023;La Rioja;18;Arnedo;02;004;A;541;416;6;4;410;100.0;;;179;;163;;;;18;;;;;;;;;;;;;;;;;;;;;;2;;0;;15;;;;1;24;1;3;;;;;;;;
2023;La Rioja;18;Arnedo;02;004;B;562;433;7;10;426;100.0;;;169;;182;;;;19;;;;;;;;;;;;;;;;;;;;;;3;;1;;18;;;;0;20;0;4;;;;;;;;
2023;La Rioja;18;Arnedo;02;005;A;532;426;7;9;419;100.0;;;148;;200;;;;13;;;;;;;;;;;;;;;;;;;;;;1;;1;;16;;;;1;27;1;2;;;;;;;;
2023;La Rioja;18;Arnedo;02;005;B;496;390;8;5;382;100.0;;;150;;163;;;;21;;;;;;;;;;;;;;;;;;;;;;2;;0;;8;;;;0;25;2;6;;;;;;;;
2023;La Rioja;18;Arnedo;02;006;A;568;447;9;6;438;100.0;;;168;;190;;;;18;;;;;;;;;;;;;;;;;;;;;;3;;0;;22;;;;0;17;0;14;;;;;;;;
2023;La Rioja;18;Arnedo;02;006;B;597;480;10;5;470;100.0;;;182;;213;;;;11;;;;;;;;;;;;;;;;;;;;;;4;;4;;25;;;;0;14;3;9;;;;;;;;
