Año;Provincia;Código INE;Municipio;Partido;Votos
1983;Albacete;20010000;Abengibre;PSOE;200
1983;Albacete;20010000;Abengibre;ABSTEN;180
1983;Albacete;20010000;Abengibre;PP;419
1983;Albacete;20010000;Abengibre;CENSO;850
1983;Albacete;20010000;Abengibre;CDS;26
1983;Albacete;20010000;Abengibre;IU;9
1983;Albacete;20020000;Alatoz;PP;316
1983;Albacete;20020000;Alatoz;CDS;1
1983;Albacete;20020000;Alatoz;PSOE;268
1983;Albacete;20020000;Alatoz;IU;8
1983;Albacete;20020000;Alatoz;CENSO;723
1983;Albacete;20020000;Alatoz;ABSTEN;126
1983;Albacete;20030000;Albacete;CENSO;81315
1983;Albacete;20030000;Albacete;PSOE;28797
1983;Albacete;20030000;Albacete;ABSTEN;28462
1983;Albacete;20030000;Albacete;PP;19019
1983;Albacete;20030000;Albacete;IU;2632
1983;Albacete;20030000;Albacete;CDS;1073
1983;Albacete;20040000;Albatana;IU;62
1983;Albacete;20040000;Albatana;CDS;18
1983;Albacete;20040000;Albatana;CENSO;789
1983;Albacete;20040000;Albatana;PSOE;290
1983;Albacete;20040000;Albatana;ABSTEN;170
1983;Albacete;20040000;Albatana;PP;241
1983;Albacete;20050000;Alborea;PSOE;349
1983;Albacete;20050000;Alborea;PP;145
1983;Albacete;20050000;Alborea;CENSO;846
1983;Albacete;20050000;Alborea;CDS;8
1983;Albacete;20050000;Alborea;ABSTEN;300
1983;Albacete;20050000;Alborea;IU;25
1983;Albacete;20060000;Alcadozo;PP;348
1983;Albacete;20060000;Alcadozo;CDS;8
1983;Albacete;20060000;Alcadozo;ABSTEN;166
1983;Albacete;20060000;Alcadozo;IU;45
1983;Albacete;20060000;Alcadozo;PSOE;231
1983;Albacete;20060000;Alcadozo;CENSO;801
1983;Albacete;20070000;Alcalá del Júcar;PSOE;617
1983;Albacete;20070000;Alcalá del Júcar;PP;609
1983;Albacete;20070000;Alcalá del Júcar;CENSO;1506
1983;Albacete;20070000;Alcalá del Júcar;CDS;3
1983;Albacete;20070000;Alcalá del Júcar;ABSTEN;221
1983;Albacete;20070000;Alcalá del Júcar;IU;50
1983;Albacete;20080000;Alcaraz;ABSTEN;457
1983;Albacete;20080000;Alcaraz;IU;75
1983;Albacete;20080000;Alcaraz;PSOE;633
1983;Albacete;20080000;Alcaraz;PP;368
1983;Albacete;20080000;Alcaraz;CENSO;1548
1983;Albacete;20080000;Alcaraz;CDS;4
1983;Albacete;20090000;Almansa;IU;473
1983;Albacete;20090000;Almansa;PSOE;6994
1983;Albacete;20090000;Almansa;ABSTEN;4161
1983;Albacete;20090000;Almansa;CENSO;14763
1983;Albacete;20090000;Almansa;CDS;98
1983;Albacete;20090000;Almansa;PP;2780
1983;Albacete;20100000;Alpera;CDS;12
1983;Albacete;20100000;Alpera;PP;498
1983;Albacete;20100000;Alpera;IU;214
1983;Albacete;20100000;Alpera;PSOE;711
1983;Albacete;20100000;Alpera;ABSTEN;342
1983;Albacete;20100000;Alpera;CENSO;1808
1983;Albacete;20110000;Ayna;IU;4
1983;Albacete;20110000;Ayna;PSOE;482
1983;Albacete;20110000;Ayna;PP;328
1983;Albacete;20110000;Ayna;CENSO;1554
1983;Albacete;20110000;Ayna;CDS;148
1983;Albacete;20110000;Ayna;ABSTEN;578
