MERINDAD;MUNICIPIO;DISTRITO;SECCION;MESA;CENSO;PARTICIPACION;ABSTENCION;VALIDOS;BLANCOS;NULOS;UPN;UPN_P;ECOLO;ECOLO_P;PP;PP_P;PSN_PSOE;PSN_PSOE_P;UPYD;UPYD_P;SAIN;SAIN_P;NA_BAI2011;NA_BAI2011_P;CDN;CDN_P;IXN;IXN_P;BILDU;BILDU_P;RCN_NOK;RCN_NOK_P;IZQ_EZK;IZQ_EZK_P;DNE;DNE_P
2;178;1;1;C;43;34;9;34;0;0;26;76,47;0;0;4;11,76;1;2,94;0;0;0;0;0;0;0;0;2;5,88;0;0;1;2,94;0;0;0;0
2;179;1;1;U;561;476;85;475;19;1;219;46;2;0,42;32;6,72;132;27,73;1;0,21;0;0;18;3,78;3;0,63;8;1,68;22;4,62;4;0,84;15;3,15;0;0
2;191;1;1;A;755;563;192;551;15;12;212;37,65;5;0,88;49;8,7;138;24,51;5;0,88;0;0;58;10,3;7;1,24;2;0,35;43;7,63;2;0,35;13;2,3;2;0,35
2;191;1;1;B;728;549;179;543;11;6;216;39,34;9;1,63;51;9,28;135;24,59;2;0,36;0;0;53;9,65;3;0,54;4;0,72;33;6,01;9;1,63;13;2,36;4;0,72
2;191;2;1;A;674;499;175;489;13;10;196;39,27;5;1;35;7,01;107;21,44;3;0,6;0;0;75;15,03;2;0,4;3;0,6;23;4,6;6;1,2;19;3,8;2;0,4
2;191;2;1;B;726;511;215;503;13;8;203;39,72;7;1,36;45;8,8;106;20,74;7;1,36;2;0,39;59;11,54;2;0,39;2;0,39;28;5,47;9;1,76;16;3,13;4;0,78
2;192;1;1;U;150;109;41;109;1;0;36;33,02;6;5,5;4;3,66;7;6,42;0;0;0;0;21;19,26;3;2,75;10;9,17;9;8,25;2;1,83;10;9,17;0;0
2;197;1;1;U;68;60;8;58;4;2;16;26,66;0;0;5;8,33;18;30;0;0;0;0;7;11,66;0;0;0;0;3;5;1;1,66;4;6,66;0;0
2;202;1;1;A;396;265;131;264;9;1;135;50,94;1;0,37;22;8,3;43;16,22;1;0,37;1;0,37;27;10,18;1;0,37;1;0,37;7;2,64;2;0,75;14;5,28;0;0
2;202;1;1;B;466;332;135;324;15;8;181;54,51;1;0,3;25;7,53;55;16,56;3;0,9;0;0;19;5,72;0;0;1;0,3;3;0,9;2;0,6;18;5,42;1;0,3
2;202;1;2;A;454;336;118;332;19;4;144;42,85;2;0,59;18;5,35;74;22,02;3;0,89;0;0;34;10,11;4;1,19;1;0,29;11;3,27;2;0,59;20;5,95;0;0
2;202;1;2;B;415;292;123;288;10;4;136;46,57;1;0,34;10;3,42;59;20,2;1;0,34;0;0;28;9,58;3;1,02;0;0;12;4,1;2;0,68;26;8,9;0;0
2;202;1;2;C;439;340;99;335;13;5;136;40;6;1,76;21;6,17;65;19,11;3;0,88;1;0,29;46;13,52;6;1,76;1;0,29;12;3,52;0;0;25;7,35;0;0
2;202;2;1;A;405;306;99;295;8;11;151;49,34;1;0,32;30;9,8;41;13,39;2;0,65;0;0;21;6,86;2;0,65;1;0,32;15;4,9;0;0;23;7,51;0;0
2;202;2;1;B;559;439;120;434;18;5;222;50,56;4;0,91;35;7,97;54;12,3;4;0,91;1;0,22;35;7,97;1;0,22;1;0,22;16;3,64;3;0,68;39;8,88;1;0,22
2;202;2;1;C;611;487;124;477;11;10;226;46,4;2;0,41;37;7,59;96;19,71;1;0,2;0;0;50;10,26;6;1,23;2;0,41;13;2,66;4;0,82;29;5,95;0;0
2;202;2;1;D;456;346;110;336;13;10;155;44,79;5;1,44;24;6,93;58;16,76;2;0,57;1;0,28;40;11,56;3;0,86;0;0;8;2,31;2;0,57;24;6,93;1;0,28
2;205;1;1;U;464;387;78;379;10;8;92;23,77;0;0;24;6,2;194;50,12;0;0;0;0;26;6,71;1;0,25;5;1,29;16;4,13;2;0,51;9;2,32;0;0
2;207;1;1;U;284;200;84;200;3;0;64;32;1;0,5;12;6;19;9,5;1;0,5;0;0;16;8;2;1;13;6,5;57;28,5;7;3,5;5;2,5;0;0
2;217;1;1;U;387;285;102;282;8;3;111;38,94;2;0,7;24;8,42;51;17,89;1;0,35;0;0;16;5,61;5;1,75;20;7,01;31;10,87;0;0;12;4,21;1;0,35
2;220;1;1;A;368;263;105;262;4;1;118;44,86;0;0;26;9,88;65;24,71;2;0,76;1;0,38;23;8,74;2;0,76;2;0,76;10;3,8;2;0,76;7;2,66;0;0
2;220;1;1;B;401;283;118;281;6;2;139;49,11;2;0,7;20;7,06;83;29,32;0;0;0;0;19;6,71;2;0,7;0;0;4;1,41;1;0,35;4;1,41;1;0,35
2;227;1;1;A;361;263;98;260;3;3;107;40,68;2;0,76;11;4,18;44;16,73;0;0;0;0;23;8,74;2;0,76;4;1,52;58;22,05;0;0;6;2,28;0;0
2;227;1;1;B;358;252;106;249;2;3;104;41,26;1;0,39;18;7,14;34;13,49;1;0,39;0;0;26;10,31;2;0,79;6;2,38;42;16,66;3;1,19;8;3,17;2;0,79
2;227;1;2;A;570;428;142;422;14;6;166;38,78;8;1,86;19;4,43;66;15,42;1;0,23;2;0,46;40;9,34;2;0,46;9;2,1;75;17,52;3;0,7;16;3,73;1;0,23
2;227;1;2;B;634;487;147;478;13;9;179;36,75;7;1,43;22;4,51;56;11,49;1;0,2;1;0,2;49;10,06;4;0,82;25;5,13;100;20,53;3;0,61;18;3,69;0;0
2;227;1;2;C;494;378;116;375;9;3;157;41,53;5;1,32;13;3,43;54;14,28;2;0,52;1;0,26;37;9,78;2;0,52;8;2,11;66;17,46;9;2,38;10;2,64;2;0,52
2;227;1;3;A;466;336;130;331;7;5;107;31,84;3;0,89;12;3,57;64;19,04;2;0,59;0;0;28;8,33;2;0,59;12;3,57;72;21,42;2;0,59;20;5,95;0;0
2;227;1;3;B;564;385;179;374;12;11;112;29,09;3;0,77;17;4,41;81;21,03;2;0,51;0;0;38;9,87;3;0,77;9;2,33;80;20,77;3;0,77;14;3,63;0;0
2;227;1;3;C;515;359;156;357;7;2;109;30,36;6;1,67;23;6,4;79;22;0;0;1;0,27;26;7,24;1;0,27;16;4,45;69;19,22;1;0,27;19;5,29;0;0
2;227;2;1;A;459;338;121;333;7;5;105;31,06;3;0,88;18;5,32;48;14,2;0;0;2;0,59;38;11,24;5;1,47;11;3,25;83;24,55;1;0,29;12;3,55;0;0
2;227;2;1;B;530;411;119;406;5;5;119;28,95;6;1,45;10;2,43;95;23,11;0;0;0;0;48;11,67;2;0,48;13;3,16;91;22,14;3;0,72;14;3,4;0;0
2;227;2;1;C;459;332;127;329;4;3;122;36,74;3;0,9;13;3,91;45;13,55;0;0;0;0;37;11,14;0;0;11;3,31;80;24,09;2;0,6;12;3,61;0;0
2;227;2;2;A;427;301;126;300;6;1;60;19,93;5;1,66;8;2,65;43;14,28;1;0,33;1;0,33;31;10,29;0;0;11;3,65;116;38,53;2;0,66;14;4,65;2;0,66
2;227;2;2;B;488;339;149;336;7;3;65;19,17;3;0,88;13;3,83;56;16,51;0;0;0;0;29;8,55;3;0,88;8;2,35;134;39,52;4;1,17;14;4,12;0;0
2;227;2;2;C;381;261;120;257;5;4;83;31,8;3;1,14;9;3,44;47;18;1;0,38;0;0;20;7,66;2;0,76;7;2,68;70;26,81;0;0;9;3,44;1;0,38
2;227;2;3;A;484;345;139;344;4;1;86;24,92;2;0,57;12;3,47;81;23,47;0;0;0;0;31;8,98;1;0,28;12;3,47;84;24,34;2;0,57;29;8,4;0;0
2;227;2;3;B;456;323;133;321;4;2;89;27,55;0;0;8;2,47;58;17,95;0;0;0;0;24;7,43;3;0,92;15;4,64;106;32,81;3;0,92;11;3,4;0;0
2;227;2;4;U;599;396;203;391;12;5;92;23,23;3;0,75;25;6,31;75;18,93;1;0,25;0;0;37;9,34;3;0,75;17;4,29;90;22,72;4;1,01;30;7,57;2;0,5
2;235;1;1;U;191;140;51;136;4;4;37;26,42;2;1,42;11;7,85;23;16,42;0;0;2;1,42;13;9,28;1;0,71;8;5,71;26;18,57;3;2,14;4;2,85;2;1,42
2;238;1;1;U;123;113;10;112;7;1;31;27,43;2;1,76;3;2,65;13;11,5;1;0,88;0;0;23;20,35;3;2,65;2;1,76;21;18,58;2;1,76;4;3,53;0;0
3;7;1;1;U;138;99;39;94;3;5;37;37,37;3;3,03;9;9,09;10;10,1;1;1,01;0;0;11;11,11;2;2,02;2;2,02;11;11,11;1;1,01;4;4,04;0;0
3;10;1;1;A;736;469;267;462;3;7;75;15,99;11;2,34;27;5,75;43;9,16;0;0;0;0;118;25,15;2;0,42;2;0,42;153;32,62;4;0,85;20;4,26;4;0,85
3;10;1;1;B;727;466;261;457;9;9;67;14,37;13;2,78;30;6,43;41;8,79;1;0,21;1;0,21;122;26,18;0;0;0;0;152;32,61;1;0,21;19;4,07;1;0,21
3;10;1;2;A;522;317;205;315;5;2;39;12,3;3;0,94;24;7,57;44;13,88;0;0;0;0;84;26,49;4;1,26;0;0;92;29,02;2;0,63;17;5,36;1;0,31
3;10;1;2;B;576;358;218;352;11;6;40;11,17;0;0;25;6,98;46;12,84;0;0;0;0;92;25,69;2;0,55;0;0;103;28,77;5;1,39;27;7,54;1;0,27
3;10;2;1;A;481;284;197;281;5;3;39;13,73;5;1,76;12;4,22;32;11,26;0;0;0;0;81;28,52;3;1,05;0;0;91;32,04;1;0,35;10;3,52;2;0,7
3;10;2;1;B;460;274;186;271;3;3;44;16,05;2;0,72;16;5,83;37;13,5;0;0;0;0;80;29,19;1;0,36;0;0;64;23,35;1;0,36;23;8,39;0;0
3;10;2;2;A;451;262;189;255;5;7;39;14,88;6;2,29;32;12,21;51;19,46;2;0,76;0;0;51;19,46;1;0,38;0;0;51;19,46;3;1,14;14;5,34;0;0
3;10;2;2;B;445;261;184;249;4;12;29;11,11;2;0,76;23;8,81;66;25,28;3;1,14;1;0,38;41;15,7;1;0,38;0;0;64;24,52;2;0,76;12;4,59;1;0,38
3;10;2;2;C;462;264;198;261;6;3;33;12,5;1;0,37;30;11,36;72;27,27;1;0,37;0;0;41;15,53;3;1,13;1;0,37;53;20,07;1;0,37;19;7,19;0;0
3;10;2;3;A;457;241;216;236;4;5;36;14,93;4;1,65;16;6,63;28;11,61;3;1,24;0;0;53;21,99;0;0;0;0;72;29,87;5;2,07;13;5,39;2;0,82
3;10;2;3;B;469;278;191;270;6;8;48;17,26;5;1,79;22;7,91;46;16,54;2;0,71;0;0;42;15,1;2;0,71;2;0,71;69;24,82;4;1,43;20;7,19;2;0,71
3;16;1;1;A;616;355;261;351;6;4;47;13,23;8;2,25;15;4,22;87;24,5;2;0,56;3;0,84;70;19,71;5;1,4;4;1,12;68;19,15;5;1,4;28;7,88;3;0,84
3;16;1;1;B;611;376;235;370;6;6;46;12,23;5;1,32;18;4,78;96;25,53;2;0,53;1;0,26;88;23,4;1;0,26;1;0,26;59;15,69;7;1,86;40;10,63;0;0
3;16;1;2;A;459;322;137;321;10;1;50;15,52;5;1,55;17;5,27;63;19,56;1;0,31;0;0;65;20,18;3;0,93;0;0;67;20,8;5;1,55;34;10,55;1;0,31
