Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,239,Urdazubi/Urdax,291,0,291,233,2,9,58,231,222,21,55,56,14,41,0,1,4,1,29,0
31,240,Urdiain,510,0,510,291,4,4,219,287,283,4,77,161,0,19,0,0,10,1,11,0
31,241,Urraul Alto,127,0,127,104,1,2,23,103,101,14,15,14,3,32,0,1,7,0,15,0
31,242,Urraul Bajo,283,1,284,183,3,3,101,180,177,6,30,43,3,55,0,0,18,1,20,1
31,244,Urroz,145,0,145,66,0,1,79,66,65,2,26,13,5,12,0,0,0,1,6,0
31,243,Urroz-Villa,310,0,310,216,1,10,94,215,205,6,32,65,6,55,1,0,14,2,24,0
31,245,Urzainqui/Urzainki,70,0,70,50,0,3,20,50,47,2,10,15,0,16,0,0,0,0,4,0
31,246,Uterga,141,0,141,110,2,4,31,108,104,1,15,13,7,36,0,0,9,4,19,0
31,247,Uztárroz/Uztarroze,128,0,128,99,1,0,29,98,98,0,17,41,0,27,0,0,3,0,10,0
31,86,Valle de Egüés/Eguesibar,14389,1,14390,9649,102,202,4741,9547,9345,805,1426,1398,577,2695,90,59,718,59,1501,17
31,194,Valle de Ollo/Ollaran,377,0,377,252,2,12,125,250,238,10,41,101,5,41,1,0,10,9,20,0
31,260,Valle de Yerri/Deierri,1167,0,1167,840,10,24,327,830,806,44,105,223,18,254,2,1,36,6,115,2
31,249,Valtierra,1757,0,1757,1401,28,36,356,1373,1337,62,32,24,36,560,0,0,52,0,571,0
31,251,Viana,3127,0,3127,2235,43,45,892,2192,2147,143,305,180,83,667,4,5,90,1,668,1
31,252,Vidángoz/Bidankoze,72,0,72,46,1,1,26,45,44,1,8,22,0,6,0,0,0,1,6,0
31,254,Villafranca,1923,0,1923,1410,21,23,513,1389,1366,174,46,63,88,380,7,9,65,1,529,4
31,255,Villamayor de Monjardín,102,0,102,75,1,3,27,74,71,6,8,5,1,30,0,0,4,2,15,0
31,257,Villatuerta,960,0,960,688,24,23,272,664,641,38,79,106,9,153,6,1,45,3,197,4
31,258,Villava/Atarrabia,7738,0,7738,5247,51,74,2491,5196,5122,256,1068,1631,124,833,19,18,334,25,806,8
31,261,Yesa,249,0,249,194,10,5,55,184,179,25,17,15,21,44,1,0,13,5,38,0
31,262,Zabalza/Zabaltza,238,1,239,189,0,3,50,189,186,7,27,34,3,35,1,0,25,1,42,11
31,73,Ziordia,292,0,292,210,1,3,82,209,206,9,46,113,2,10,0,0,9,1,15,1
31,907,Zizur Mayor/Zizur Nagusia,11754,0,11754,8162,117,146,3592,8045,7899,534,1654,1424,369,2040,48,49,476,38,1252,15
31,263,Zubieta,219,0,219,130,0,3,89,130,127,1,25,85,1,7,0,0,3,1,4,0
31,264,Zugarramurdi,186,0,186,117,1,4,69,116,112,5,30,53,2,13,0,1,0,1,7,0
31,265,Zúñiga,72,0,72,39,0,1,33,39,38,6,3,9,4,7,0,0,1,1,7,0
31,990,Residentes ausentes-Navarra,29812,0,29812,2369,13,32,27443,2356,2324,405,189,239,187,507,54,41,178,10,509,5
