Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,49,Basaburua,706,0,706,510,11,12,196,499,487,11,82,291,8,53,0,0,8,5,29,0
31,50,Baztan,5939,1,5940,4002,59,76,1938,3943,3867,120,910,1567,73,610,11,9,187,36,338,6
31,137,Beintza-Labaien,191,0,191,144,5,0,47,139,139,6,50,34,2,23,2,0,3,3,16,0
31,51,Beire,233,0,233,135,2,2,98,133,131,5,17,19,12,49,0,0,6,0,23,0
31,52,Belascoáin,113,0,113,78,1,1,35,77,76,9,10,7,0,25,2,0,9,0,13,1
31,250,Bera,2778,0,2778,1757,27,23,1021,1730,1707,53,456,756,21,136,2,1,56,27,198,1
31,53,Berbinzana,508,0,508,365,4,5,143,361,356,15,51,68,11,95,1,0,17,4,94,0
31,905,Beriáin,3028,0,3028,1853,27,36,1175,1826,1790,142,198,171,121,453,15,10,147,16,511,6
31,902,Berrioplano/Berriobeiti,4568,0,4568,3036,47,64,1532,2989,2925,243,492,519,153,761,16,9,191,18,516,7
31,903,Berriozar,7220,0,7220,4315,60,65,2905,4255,4190,359,481,1177,185,579,20,9,324,15,1030,11
31,54,Bertizarana,481,0,481,303,7,2,178,296,294,11,74,129,4,20,0,0,9,2,45,0
31,55,Betelu,286,0,286,184,1,8,102,183,175,5,66,75,0,7,0,0,8,0,14,0
31,253,Bidaurreta,131,0,131,105,2,0,26,103,103,3,31,51,0,2,0,0,5,1,10,0
31,56,Biurrun-Olcoz,204,0,204,133,5,5,71,128,123,5,15,26,11,34,1,0,5,1,25,0
31,57,Buñuel,1729,0,1729,1389,30,48,340,1359,1311,179,112,12,82,459,1,6,35,0,417,8
31,59,Burgui/Burgi,170,0,170,102,2,0,68,100,100,3,15,47,1,16,0,0,2,0,16,0
31,60,Burlada/Burlata,15196,0,15196,9404,141,144,5792,9263,9119,638,1469,1964,262,1845,65,23,946,55,1833,19
31,62,Cabanillas,1066,0,1066,806,13,25,260,793,768,93,17,26,34,257,2,5,34,1,298,1
31,63,Cabredo,69,0,69,60,2,0,9,58,58,8,9,13,0,21,0,0,0,0,7,0
31,64,Cadreita,1371,0,1371,1176,13,13,195,1163,1150,89,24,57,57,412,1,2,35,1,472,0
31,65,Caparroso,1832,0,1832,1402,19,34,430,1383,1349,136,46,86,66,413,1,1,29,1,569,1
31,66,Cárcar,780,0,780,625,12,20,155,613,593,28,19,39,21,219,3,0,15,0,249,0
31,67,Carcastillo,1820,0,1820,1312,28,35,508,1284,1249,72,76,64,82,376,4,2,224,3,345,1
31,68,Cascante,2795,0,2795,2031,40,30,764,1991,1961,120,56,76,129,762,8,13,102,1,692,2
31,69,Cáseda,813,0,813,681,10,17,132,671,654,23,39,96,40,243,1,1,36,2,171,2
31,70,Castejón,2636,0,2636,1812,54,50,824,1758,1708,178,35,79,123,531,5,3,273,4,473,4
31,71,Castillonuevo,15,0,15,11,0,1,4,11,10,1,0,1,0,5,0,0,1,0,2,0
31,193,Cendea de Olza/Oltza Zendea,1460,0,1460,995,5,26,465,990,964,56,168,250,42,239,5,3,58,16,126,1
31,72,Cintruénigo,5344,0,5344,3802,59,54,1542,3743,3689,760,57,89,183,1221,6,5,71,3,1292,2
31,74,Cirauqui/Zirauki,379,0,379,272,0,6,107,272,266,8,42,107,3,48,4,0,14,2,38,0
31,75,Ciriza/Ziritza,118,0,118,80,1,1,38,79,78,5,14,11,9,17,1,0,10,3,7,1
31,76,Cizur,2680,0,2680,1964,14,39,716,1950,1911,216,185,167,199,854,11,6,41,8,222,2
31,77,Corella,5514,0,5514,3902,81,75,1612,3821,3746,373,117,109,263,1609,8,19,177,2,1062,7
31,78,Cortes,2334,0,2334,1764,51,59,570,1713,1654,94,73,91,79,659,1,5,83,1,567,1
31,79,Desojo,59,0,59,44,0,1,15,44,43,2,3,2,0,13,1,0,1,2,18,1
31,80,Dicastillo,463,0,463,329,3,6,134,326,320,13,42,69,4,84,2,0,21,0,85,0
31,81,Donamaria,362,0,362,246,4,7,116,242,235,13,71,112,0,20,1,0,3,2,13,0
31,221,Doneztebe/Santesteban,1296,0,1296,871,20,17,425,851,834,35,207,327,17,129,1,0,22,2,94,0
31,83,Echarri/Etxarri,55,0,55,44,3,2,11,41,39,1,7,14,2,9,3,0,0,3,0,0
31,61,El Busto,44,0,44,37,0,2,7,37,35,1,1,2,0,23,0,0,1,2,5,0
31,87,Elgorriaga,167,0,167,113,3,5,54,110,105,1,33,51,0,12,0,0,0,0,7,1
31,89,Enériz/Eneritz,251,0,251,178,2,4,73,176,172,14,22,23,16,55,1,2,7,4,28,0
31,90,Eratsun,135,0,135,68,1,0,67,67,67,2,37,12,2,6,0,0,0,0,8,0
31,91,Ergoiena,321,0,321,214,0,4,107,214,210,5,62,111,1,12,0,0,3,1,15,0
31,92,Erro,687,0,687,522,7,10,165,515,505,14,132,165,7,97,4,0,17,1,68,0
31,94,Eslava,93,0,93,62,2,1,31,60,59,2,8,5,0,26,0,0,1,0,16,1
31,95,Esparza de Salazar/Espartza Zaraitzu,70,0,70,64,1,2,6,63,61,2,10,30,0,3,1,0,2,0,13,0
31,96,Espronceda,100,0,100,89,0,1,11,89,88,12,5,24,2,22,1,0,2,1,18,1
31,97,Estella-Lizarra,10497,0,10497,6373,74,110,4124,6299,6189,438,847,1233,189,2115,14,24,390,32,898,9
31,98,Esteribar,2126,0,2126,1526,15,31,600,1511,1480,99,302,356,63,388,13,8,76,6,165,4
31,99,Etayo,50,0,50,40,0,0,10,40,40,5,1,6,2,11,0,0,2,0,13,0
31,82,Etxalar,634,0,634,443,4,25,191,439,414,14,123,178,7,42,0,0,10,3,35,2
31,84,Etxarri Aranatz,1922,0,1922,1219,17,6,703,1202,1196,39,327,655,6,66,0,0,31,2,69,1
31,85,Etxauri,483,0,483,343,5,7,140,338,331,5,63,154,5,23,1,1,28,5,46,0
31,100,Eulate,243,0,243,148,5,1,95,143,142,14,16,30,11,42,0,0,4,5,20,0
31,101,Ezcabarte,1454,0,1454,989,8,12,465,981,969,33,122,307,55,276,3,4,58,3,107,1
31,93,Ezcároz/Ezkaroze,253,0,253,177,0,2,76,177,175,5,35,67,1,36,0,0,4,1,26,0
31,102,Ezkurra,129,0,129,63,0,0,66,63,63,3,17,24,0,7,0,0,2,0,10,0
31,103,Ezprogui,44,0,44,33,0,1,11,33,32,7,3,4,1,13,0,0,0,0,4,0
31,104,Falces,1717,0,1717,1213,32,25,504,1181,1156,75,91,113,41,297,6,8,55,4,464,2
31,105,Fitero,1426,0,1426,1119,18,19,307,1101,1082,143,11,13,121,437,0,1,25,0,327,4
31,106,Fontellas,745,0,745,623,7,22,122,616,594,134,11,9,46,146,4,1,33,0,210,0
31,107,Funes,1643,0,1643,1228,16,21,415,1212,1191,217,21,20,86,612,2,5,22,1,205,0
31,108,Fustiñana,1805,0,1805,1462,43,51,343,1419,1368,418,46,40,70,327,4,1,54,2,406,0
31,109,Galar,1745,0,1745,1183,22,25,562,1161,1136,72,155,241,72,339,4,4,69,8,168,4
31,110,Gallipienzo/Galipentzu,85,0,85,68,1,1,17,67,66,3,6,11,2,18,1,0,6,0,19,0
31,111,Gallués/Galoze,92,0,92,71,0,0,21,71,71,3,21,16,4,8,2,0,5,4,8,0
31,112,Garaioa,83,0,83,56,0,3,27,56,53,4,24,10,0,8,0,0,3,0,4,0
31,113,Garde,123,0,123,73,0,3,50,73,70,5,17,11,1,14,0,0,3,0,19,0
31,114,Garínoain,400,0,400,264,7,5,136,257,252,10,28,56,16,46,2,1,36,2,55,0
31,115,Garralda,151,0,151,100,1,1,51,99,98,1,39,34,0,16,0,0,2,0,6,0
31,116,Genevilla,64,0,64,54,1,2,10,53,51,6,6,6,6,17,0,0,3,1,6,0
31,117,Goizueta,561,0,561,387,11,3,174,376,373,3,71,276,0,9,0,0,5,1,8,0
31,118,Goñi,165,0,165,118,10,6,47,108,102,3,33,19,2,15,0,0,4,5,21,0
31,119,Güesa/Gorza,34,0,34,24,0,3,10,24,21,0,9,5,0,4,0,0,2,0,1,0
31,120,Guesálaz/Gesalatz,376,0,376,257,6,3,119,251,248,11,48,61,7,57,3,2,14,5,37,3
31,121,Guirguillano,61,0,61,49,1,5,12,48,43,6,5,9,1,13,0,1,4,0,4,0
31,256,Hiriberri/Villanueva de Aezkoa,93,0,93,47,0,0,46,47,47,0,17,25,1,4,0,0,0,0,0,0
31,122,Huarte/Uharte,5319,0,5319,3533,49,68,1786,3484,3416,192,747,842,115,734,21,16,221,13,507,8
31,124,Ibargoiti,230,0,230,174,2,5,56,172,167,5,33,21,7,71,2,0,4,2,20,2
31,259,Igantzi,456,0,456,268,3,3,188,265,262,5,93,114,1,9,0,0,8,1,30,1
31,125,Igúzquiza,262,0,262,175,4,8,87,171,163,8,13,29,3,55,0,0,13,4,33,5
31,126,Imotz,350,0,350,238,6,2,112,232,230,8,56,87,3,35,3,0,11,1,26,0
31,127,Irañeta,126,0,126,87,2,6,39,85,79,4,14,27,8,21,1,0,2,0,2,0
31,904,Irurtzun,1603,0,1603,922,9,20,681,913,893,52,137,328,17,150,3,0,33,11,161,1
31,128,Isaba/Izaba,350,0,350,210,3,2,140,207,205,8,28,67,3,39,0,0,22,0,38,0
31,129,Ituren,394,0,394,268,1,6,126,267,261,7,53,155,4,7,1,0,7,5,22,0
31,130,Iturmendi,341,0,341,196,0,1,145,196,195,23,44,65,0,31,0,1,11,1,19,0
31,131,Iza/Itza,1002,0,1002,717,13,17,285,704,687,56,106,138,41,229,3,6,34,7,66,1
31,132,Izagaondoa,136,0,136,98,1,1,38,97,96,4,8,29,10,34,1,0,2,1,7,0
31,133,Izalzu/Itzaltzu,33,0,33,26,0,0,7,26,26,0,3,15,0,2,0,0,0,0,6,0
31,134,Jaurrieta,161,0,161,129,1,2,32,128,126,6,30,29,5,35,0,0,1,0,20,0
31,135,Javier,107,0,107,58,2,1,49,56,55,8,7,0,5,23,1,0,0,0,11,0
31,136,Juslapeña / Txulapain,467,0,467,293,10,3,174,283,280,7,51,101,26,35,2,1,18,4,33,2
31,138,Lakuntza,949,0,949,575,7,9,374,568,559,9,151,280,9,43,0,0,21,5,41,0
31,139,Lana,147,0,147,119,6,0,28,113,113,2,19,19,5,46,0,0,9,0,13,0
31,140,Lantz,115,0,115,83,0,3,32,83,80,3,25,20,3,15,0,0,3,0,11,0
31,141,Lapoblación,103,0,103,74,4,3,29,70,67,22,12,3,9,8,0,0,4,1,7,1
31,142,Larraga,1350,0,1350,977,24,26,373,953,927,23,57,162,55,351,1,1,31,3,241,2
31,143,Larraona,90,0,90,53,0,1,37,53,52,5,8,9,1,18,0,0,0,4,7,0
31,144,Larraun,754,0,754,429,13,8,325,416,408,7,74,241,5,37,0,0,9,3,32,0
31,145,Lazagurría,158,0,158,118,0,4,40,118,114,15,9,3,2,59,0,1,6,0,19,0
31,146,Leache/Leatxe,32,0,32,23,0,1,9,23,22,0,1,5,0,12,0,0,1,0,3,0
31,147,Legarda,110,0,110,80,1,3,30,79,76,6,9,17,4,28,0,0,2,1,9,0
31,148,Legaria,89,0,89,64,1,5,25,63,58,5,8,7,5,12,0,0,3,1,17,0
31,149,Leitza,2277,0,2277,1543,19,19,734,1524,1505,16,280,931,16,138,1,0,26,7,90,0
31,908,Lekunberri,1187,0,1187,919,12,20,268,907,887,20,275,325,14,103,5,3,43,9,88,2
31,150,Leoz/Leotz,193,0,193,123,1,1,70,122,121,7,17,46,1,21,0,0,19,1,9,0
31,151,Lerga,50,0,50,41,0,3,9,41,38,2,5,7,2,17,0,0,2,0,3,0
31,152,Lerín,1205,0,1205,881,22,15,324,859,844,48,75,76,39,331,1,0,49,1,224,0
31,153,Lesaka,2175,0,2175,1460,24,8,715,1436,1428,18,516,649,13,81,0,2,45,2,102,0
31,154,Lezaun,210,0,210,101,3,5,109,98,93,7,20,40,3,13,0,0,7,0,3,0
31,155,Liédena,251,0,251,200,2,5,51,198,193,6,11,19,14,57,0,0,12,0,74,0
31,156,Lizoain-Arriasgoiti / Lizoainibar-Arriasgoiti,237,0,237,176,0,5,61,176,171,3,38,63,8,25,0,0,9,1,22,2
31,157,Lodosa,3404,0,3404,2279,35,57,1125,2244,2187,81,346,164,149,778,19,5,71,3,563,8
31,158,Lónguida/Longida,260,0,260,152,3,4,108,149,145,4,24,54,2,46,1,0,10,0,4,0
31,29,Los Arcos,884,0,884,642,20,16,242,622,606,48,52,94,19,224,3,2,33,1,130,0
31,159,Lumbier,1091,0,1091,892,16,22,199,876,854,35,160,207,22,262,1,3,55,3,101,5
31,160,Luquin,107,0,107,86,2,3,21,84,81,3,10,22,1,27,0,0,6,1,11,0
31,248,Luzaide/Valcarlos,250,0,250,143,0,4,107,143,139,17,28,39,5,27,1,0,6,1,15,0
31,161,Mañeru,345,0,345,245,9,7,100,236,229,4,44,56,12,37,1,2,21,3,49,0
31,162,Marañón,51,0,51,26,0,0,25,26,26,1,1,4,2,6,0,0,1,0,11,0
31,163,Marcilla,2035,0,2035,1580,40,23,455,1540,1517,98,47,45,43,604,6,4,92,0,576,2
31,164,Mélida,533,0,533,405,9,9,128,396,387,38,7,11,20,156,1,0,21,0,132,1
31,165,Mendavia,2681,0,2681,1981,29,44,700,1952,1908,147,62,205,101,610,0,2,84,2,693,2
31,166,Mendaza,244,0,244,157,3,1,87,154,153,22,14,20,2,66,1,0,4,0,24,0
31,167,Mendigorría,852,0,852,636,13,9,216,623,614,44,82,145,15,183,5,1,26,2,108,3
31,168,Metauten,237,0,237,166,2,2,71,164,162,9,24,35,5,65,0,0,7,0,16,1
31,169,Milagro,2172,0,2172,1564,24,18,608,1540,1522,56,28,26,64,629,1,1,27,1,689,0
31,170,Mirafuentes,45,0,45,30,2,1,15,28,27,0,4,8,0,5,0,0,1,0,9,0
31,171,Miranda de Arga,678,0,678,490,16,13,188,474,461,11,62,60,5,100,1,0,35,2,185,0
31,172,Monreal/Elo,380,0,380,303,8,9,77,295,286,17,36,45,14,110,2,1,22,0,37,2
31,173,Monteagudo,825,0,825,721,8,20,104,713,693,54,14,11,67,265,1,0,16,0,265,0
31,174,Morentin,99,0,99,71,1,2,28,70,68,1,8,20,6,16,1,0,3,0,11,2
31,175,Mues,67,0,67,55,3,2,12,52,50,5,19,9,0,11,0,0,1,0,5,0
31,176,Murchante,2963,0,2963,2137,116,72,826,2021,1949,196,76,60,140,687,10,11,70,0,697,2
31,177,Murieta,256,0,256,131,4,4,125,127,123,13,17,23,6,33,0,0,12,0,18,1
31,178,Murillo el Cuende,472,0,472,331,8,9,141,323,314,15,13,6,39,93,3,3,7,4,128,3
31,179,Murillo el Fruto,489,0,489,364,5,9,125,359,350,15,15,20,20,100,1,2,20,1,156,0
31,180,Muruzábal,213,0,213,148,2,3,65,146,143,10,20,30,2,41,1,0,13,5,21,0
31,181,Navascués/Nabaskoze,120,0,120,88,1,0,32,87,87,4,13,31,2,23,0,1,2,0,9,2
