Codcir,Codmun,Municipio,Mesa,Censo,Certif_Alta,Certif_Correc,Censo_Total,Votos_Electores,Votos_Interventores,Votos_Totales,Votos_Nulos,Votos_Blancos,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,67,Carcastillo,2-001-A,462,0,0,462,332,0,332,12,13,14,27,9,18,107,0,1,64,0,67,0
31,67,Carcastillo,2-001-B,431,0,0,431,315,0,315,10,8,13,9,27,27,85,2,1,54,0,79,0
31,68,Cascante,1-001-A,423,0,0,423,283,0,283,8,10,15,9,14,28,97,0,0,13,0,88,1
31,68,Cascante,1-001-B,469,0,0,469,340,0,340,8,4,23,6,16,23,122,0,0,18,0,120,0
31,68,Cascante,2-001-A,392,0,0,392,285,0,285,6,5,18,8,11,10,108,3,2,16,0,98,0
31,68,Cascante,2-001-B,346,0,0,346,260,0,260,2,2,20,7,7,16,111,1,5,10,1,78,0
31,68,Cascante,3-001-A,565,0,0,565,409,0,409,6,2,29,16,13,21,146,1,3,27,0,145,0
31,68,Cascante,3-001-B,600,0,0,600,454,0,454,10,7,15,10,15,31,178,3,3,18,0,163,1
31,69,Cáseda,1-001-A,441,0,0,441,363,0,363,5,9,10,20,57,24,123,1,1,19,1,92,1
31,69,Cáseda,1-001-B,372,0,0,372,318,0,318,5,8,13,19,39,16,120,0,0,17,1,79,1
31,70,Castejón,1-001-A,774,0,0,774,524,0,524,20,17,47,9,29,25,159,1,0,78,0,136,3
31,70,Castejón,1-001-B,663,0,0,663,461,0,461,16,9,62,7,21,34,112,0,1,73,3,122,1
31,70,Castejón,1-002-U,606,0,0,606,429,0,429,11,13,28,8,21,34,135,2,0,70,0,107,0
31,70,Castejón,2-001-U,593,0,0,593,398,0,398,7,11,41,11,8,30,125,2,2,52,1,108,0
31,71,Castillonuevo,1-001-U,15,0,0,15,11,0,11,0,1,1,0,1,0,5,0,0,1,0,2,0
31,193,Cendea de Olza/Oltza Zendea,1-001-A,320,0,0,320,226,0,226,1,2,7,36,77,9,54,0,1,12,2,25,0
31,193,Cendea de Olza/Oltza Zendea,1-001-B,557,0,0,557,378,0,378,2,12,26,78,85,13,87,3,1,18,4,48,1
