Codcir,Codmun,Municipio,Censo,Certif. Alta,Censo Total,Votos Totales,Votos Nulos,Votos Blancos,Abstención,Votos Válidos,Votos Candidaturas,NA+,EH Bildu,I-E (n),PSN-PSOE,GBAI,SAIN,VOX,EQUO,RCN-NOK,Ln,PODEMOS
31,253,Bidaurreta,120,0,120,106,0,0,14,106,106,4,46,1,6,43,0,0,0,1,1,4
31,56,Biurrun-Olcoz,189,0,189,130,2,4,59,128,124,46,26,5,23,14,0,2,2,1,0,5
31,57,Buñuel,1738,2,1740,1406,16,23,334,1390,1367,662,7,29,553,47,0,20,3,6,4,36
31,59,Burgui / Burgi,183,0,183,130,0,0,53,130,130,28,47,1,25,21,1,1,0,0,0,6
31,60,Burlada / Burlata,14198,0,14198,9442,46,50,4756,9397,9347,2606,1661,280,1987,1854,13,86,59,36,17,748
31,62,Cabanillas,1070,0,1070,828,7,9,242,821,812,319,15,32,359,47,1,9,2,2,1,25
31,63,Cabredo,83,0,83,65,1,0,18,64,64,33,13,1,11,6,0,0,0,0,0,0
31,64,Cadreita,1385,0,1385,1238,12,7,147,1217,1210,561,39,13,477,79,1,4,0,4,0,32
31,65,Caparroso,1855,0,1855,1453,18,19,402,1435,1416,639,81,25,488,85,2,21,3,5,2,65
31,66,Cárcar,816,0,816,666,7,9,150,659,650,289,30,8,241,42,1,5,1,8,2,23
31,67,Carcastillo,1889,0,1889,1381,25,18,508,1356,1338,521,62,24,462,161,1,42,1,8,1,55
31,68,Cascante,2799,0,2799,2112,29,13,687,2083,2070,933,62,44,786,96,1,32,4,16,1,95
31,69,Cáseda,827,0,827,686,4,6,141,682,676,303,84,21,152,68,0,1,0,5,0,42
31,70,Castejón,2626,0,2626,1867,16,19,759,1851,1832,785,73,242,537,57,0,37,9,10,2,80
31,71,Castillonuevo,15,0,15,15,0,0,0,15,15,9,1,1,3,0,0,0,0,0,0,1
31,193,Cendea de Olza / Oltza Zendea,1438,0,1438,1078,4,9,360,1074,1065,311,251,29,158,213,2,18,8,10,0,65
31,72,Cintruénigo,5312,0,5312,3851,20,23,1461,3832,3809,1824,72,45,1502,120,1,97,11,13,4,120
31,74,Cirauqui / Zirauki,390,0,390,294,2,4,96,292,288,66,102,7,40,58,0,0,0,0,0,15
31,75,Ciriza / Ziritza,117,0,117,73,0,0,44,73,73,23,15,1,4,17,1,3,1,1,0,7
31,76,Cizur,2528,0,2528,2013,9,20,515,2004,1984,1162,165,27,206,274,8,64,7,10,4,57
31,77,Corella,5418,0,5418,4010,28,26,1408,3982,3956,2103,82,68,1248,175,0,71,11,12,4,182
31,78,Cortes,2411,0,2411,1869,13,22,542,1856,1834,844,86,22,670,99,0,25,8,10,2,68
31,79,Desojo,68,0,68,57,0,0,11,57,57,25,1,2,12,9,0,0,1,0,0,7
31,80,Dicastillo,491,0,491,389,1,3,102,388,385,102,70,17,89,72,0,3,4,2,0,26
31,81,Donamaria,335,0,335,294,4,4,41,290,286,42,76,4,11,145,0,0,2,0,2,4
31,221,Doneztebe / Santesteban,1234,0,1234,911,16,11,323,895,884,193,266,12,65,329,0,1,1,1,1,15
31,83,Echarri / Etxarri,48,0,48,37,0,0,11,37,37,11,13,0,3,8,0,0,0,0,0,2
31,61,El Busto,48,0,48,45,0,0,3,45,45,30,1,0,10,1,0,0,1,0,1,1
31,87,Elgorriaga,181,0,181,130,1,1,51,129,128,14,55,0,7,48,0,1,0,0,0,3
31,89,Enériz / Eneritz,233,0,233,162,0,0,71,162,162,83,12,3,29,27,0,0,0,3,0,5
31,90,Eratsun,141,0,141,78,2,0,63,76,76,8,17,1,3,46,0,0,0,0,0,1
31,91,Ergoiena,327,0,327,225,1,4,102,224,220,18,94,0,16,90,0,0,0,0,0,2
