Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,248,Luzaide - Valcarlos,298,0,298,169,2,6,129,167,161,47,39,10,31,0,7,13,9,1,0,1,1,1,1
31,161,Mañeru,350,0,350,281,3,11,69,278,267,45,48,32,55,0,17,4,53,3,3,1,5,0,1
31,162,Marañón,47,0,47,32,0,4,15,32,28,2,0,10,6,4,0,2,2,1,0,0,1,0,0
31,163,Marcilla,2020,0,2020,1402,39,30,618,1363,1333,75,500,357,45,7,37,59,175,37,3,11,18,0,9
31,164,Mélida,582,0,582,492,17,14,90,475,461,34,203,127,9,3,16,12,38,13,1,3,0,0,2
31,165,Mendavia,2792,0,2792,2061,48,59,731,2013,1954,125,710,614,73,12,115,38,193,29,6,10,17,6,6
31,166,Mendaza,262,0,262,174,0,2,88,174,172,12,80,9,17,3,8,8,26,8,0,0,0,0,1
31,167,Mendigorría,837,0,837,647,22,22,190,625,603,102,180,39,125,4,26,18,73,18,4,5,5,1,3
31,168,Metauten,246,0,246,205,0,4,41,205,201,34,80,13,30,1,4,9,17,10,0,1,1,0,1
31,169,Milagro,2222,0,2222,1711,35,30,511,1676,1646,68,700,609,26,1,62,54,99,21,0,1,1,1,3
31,170,Mirafuentes,49,0,49,43,2,1,6,41,40,8,7,4,8,0,1,4,5,0,0,3,0,0,0
31,171,Miranda de Arga,695,0,695,550,17,19,145,533,514,77,128,119,43,3,29,14,79,7,2,2,2,2,7
31,172,Monreal - Elo,366,0,366,280,6,7,86,274,267,35,94,18,26,1,3,10,43,21,4,6,2,0,4
31,173,Monteagudo,865,0,865,726,26,22,139,700,678,13,337,204,15,2,6,17,61,17,0,2,4,0,0
31,174,Morentin,112,0,112,76,0,1,36,76,75,5,28,7,12,0,0,7,9,2,1,0,1,0,3
