Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,137,Beintza-Labaien,207,0,207,113,1,1,94,112,111,34,23,2,31,1,1,5,5,3,0,0,2,1,3
31,51,Beire,250,0,250,165,1,5,85,164,159,13,51,31,25,3,3,5,19,7,0,0,1,0,1
31,52,Belascoáin,89,0,89,60,1,0,29,59,59,7,17,2,3,2,7,5,10,4,0,1,0,0,1
31,250,Bera,2832,0,2832,1884,18,24,948,1866,1842,504,200,85,618,8,22,33,288,49,11,5,7,2,10
31,53,Berbinzana,539,0,539,391,7,7,148,384,377,53,132,49,50,4,2,18,49,12,0,3,0,0,5
31,905,Beriáin,2851,0,2851,2007,25,26,844,1982,1956,225,408,337,136,15,81,105,449,72,7,17,52,17,35
31,902,Berrioplano - Berriobeiti,4279,0,4279,2977,29,75,1302,2948,2873,616,627,229,404,9,132,92,481,175,9,42,31,11,15
31,903,Berriozar,6568,0,6568,4331,40,50,2237,4291,4241,601,639,649,1010,14,262,68,802,114,4,20,28,6,24
31,54,Bertizarana,463,0,463,300,9,10,163,291,281,69,38,14,121,2,3,3,24,5,0,2,0,0,0
31,55,Betelu,259,0,259,194,4,4,65,190,186,75,11,7,63,2,0,4,19,1,3,0,0,1,0
31,253,Bidaurreta,121,0,121,114,0,1,7,114,113,33,8,8,44,0,3,0,16,0,0,0,1,0,0
31,56,Biurrun-Olcoz,180,0,180,129,2,5,51,127,122,15,29,4,26,2,6,6,25,3,1,0,3,0,2
31,57,Buñuel,1803,0,1803,1363,29,31,440,1334,1303,48,644,392,10,4,11,41,110,27,6,4,3,0,3
31,59,Burgui - Burgi,192,0,192,136,1,3,56,135,132,18,28,24,45,0,3,1,10,1,2,0,0,0,0
31,60,Burlada - Burlata,13675,0,13675,9201,84,132,4474,9117,8985,1648,1739,1141,1516,46,409,279,1622,235,55,88,101,16,90
31,62,Cabanillas,1094,0,1094,891,24,21,203,867,846,28,215,314,20,3,45,82,101,24,0,2,4,0,8
31,63,Cabredo,89,0,89,76,4,0,13,72,72,4,26,6,15,0,1,6,8,3,0,2,1,0,0
31,64,Cadreita,1459,0,1459,1251,27,17,208,1224,1207,59,547,359,61,3,18,25,107,18,2,0,5,0,3
31,65,Caparroso,1908,0,1908,1468,43,34,440,1425,1391,95,515,333,92,4,38,125,137,19,20,1,5,2,5
31,66,Cárcar,866,0,866,676,20,29,190,656,627,41,239,225,27,3,14,24,35,8,0,2,3,2,4
31,67,Carcastillo,1944,0,1944,1465,39,35,479,1426,1391,136,478,347,66,6,36,68,192,29,4,4,11,1,13
31,68,Cascante,2913,0,2913,2152,65,49,761,2087,2038,104,741,625,65,12,57,50,282,69,3,7,14,3,6
31,69,Cáseda,848,0,848,686,16,11,162,670,659,65,270,85,92,2,26,39,66,9,0,3,2,0,0
31,70,Castejón,2654,0,2654,1887,35,58,767,1852,1794,56,648,446,62,13,172,30,272,69,0,3,7,3,13
31,71,Castillonuevo,18,0,18,15,0,0,3,15,15,1,10,3,0,0,1,0,0,0,0,0,0,0,0
31,193,Cendea de Olza - Oltza Zendea,1405,0,1405,1053,11,20,352,1042,1022,222,270,46,209,4,20,44,168,12,3,11,8,2,3
31,72,Cintruénigo,5263,0,5263,3897,79,53,1366,3818,3765,122,1355,1477,68,8,43,189,339,104,4,15,22,3,16
31,74,Cirauqui - Zirauki,398,0,398,306,4,6,92,302,296,43,58,19,104,2,11,6,43,3,1,1,3,2,0
31,75,Ciriza - Ziritza,95,0,95,74,0,5,21,74,69,20,14,2,8,0,3,4,14,2,0,1,1,0,0
31,76,Cizur,2425,0,2425,1897,9,35,528,1888,1853,267,855,94,163,11,31,113,163,101,4,20,9,16,6
31,77,Corella,5400,0,5400,3906,92,85,1494,3814,3729,181,1459,960,95,21,67,217,551,126,0,9,16,2,25
31,78,Cortes,2465,0,2465,1902,27,49,563,1875,1826,78,590,590,81,5,22,80,295,64,1,6,5,0,9
31,79,Desojo,79,0,79,60,0,0,19,60,60,6,22,4,0,0,1,9,11,3,0,1,3,0,0
31,80,Dicastillo,511,0,511,394,4,2,117,390,388,53,98,47,66,2,27,22,61,4,0,5,2,0,1
31,81,Donamaria,342,0,342,246,4,6,96,242,236,75,23,3,88,0,2,12,5,1,22,1,3,1,0
31,221,Doneztebe - Santesteban,1203,0,1203,928,20,14,275,908,894,253,142,83,295,0,11,23,67,11,2,5,1,0,1
31,83,Echarri,55,0,55,40,1,7,15,39,32,5,10,0,8,0,1,2,2,0,0,2,2,0,0
31,61,El Busto,59,0,59,51,0,2,8,51,49,2,24,14,0,0,1,2,5,0,0,0,0,0,1
31,87,Elgorriaga,171,0,171,128,4,3,43,124,121,29,13,4,45,2,0,6,19,0,0,1,0,0,2
31,89,Enériz - Eneritz,241,0,241,165,4,1,76,161,160,23,62,8,10,8,3,17,16,6,0,2,1,2,2
31,90,Eratsun,143,0,143,84,0,1,59,84,83,43,10,5,13,0,0,2,8,1,0,0,0,0,1
31,91,Ergoiena,353,0,353,267,4,5,86,263,258,84,20,10,124,1,0,3,16,0,0,0,0,0,0
31,92,Erro,666,0,666,517,1,10,149,516,506,137,129,24,126,0,14,10,46,6,7,5,1,0,1
31,94,Eslava,115,0,115,83,1,3,32,82,79,7,42,14,6,1,0,3,5,0,0,0,0,0,1
31,95,Esparza de Salazar - Espartza Zaraitzu,78,0,78,64,0,1,14,64,63,11,10,13,23,0,3,1,1,0,0,0,0,0,1
31,96,Espronceda,115,0,115,94,2,1,21,92,91,5,20,14,23,1,4,14,6,1,1,0,1,0,1
31,97,Estella-Lizarra,10448,0,10448,6834,85,142,3614,6749,6607,992,1998,797,1181,25,249,220,809,194,10,38,51,6,37
31,98,Esteribar,1923,2,1925,1466,11,39,459,1455,1416,319,333,79,295,9,32,39,211,66,3,7,14,3,6
31,99,Etayo,62,0,62,51,0,1,11,51,50,9,18,5,6,0,3,4,5,0,0,0,0,0,0
31,82,Etxalar,622,0,622,485,14,16,137,471,455,174,53,8,147,0,1,13,53,2,0,1,1,1,1
31,84,Etxarri Aranatz,1946,0,1946,1414,16,22,532,1398,1376,279,116,28,755,1,7,42,125,9,0,3,5,1,5
31,85,Etxauri,461,0,461,389,8,7,72,381,374,76,44,17,139,0,17,9,55,4,6,5,1,0,1
31,100,Eulate,268,0,268,171,0,3,97,171,168,36,61,11,19,1,0,8,19,13,0,0,0,0,0
31,101,Ezcabarte,1400,0,1400,1010,2,14,390,1008,994,176,227,65,234,4,29,37,156,29,2,11,13,1,10
31,93,Ezcároz - Ezkaroze,297,0,297,266,2,5,31,264,259,56,60,29,74,0,6,6,20,4,1,3,0,0,0
31,102,Ezkurra,148,0,148,83,0,0,65,83,83,15,8,3,30,0,5,11,10,1,0,0,0,0,0
31,103,Ezprogui,47,0,47,35,0,0,12,35,35,0,25,1,4,0,1,1,3,0,0,0,0,0,0
31,104,Falces,1901,0,1901,1418,21,24,483,1397,1373,145,406,348,97,5,42,70,217,19,5,4,7,3,5
31,105,Fitero,1543,0,1543,1219,30,28,324,1189,1161,46,511,297,36,4,16,85,132,22,2,3,3,0,4
31,106,Fontellas,696,0,696,557,7,13,139,550,537,19,176,164,16,5,18,47,54,26,0,1,7,0,4
31,107,Funes,1699,0,1699,1389,32,38,310,1357,1319,43,701,198,20,9,13,192,92,33,2,3,8,2,3
31,108,Fustiñana,1895,0,1895,1534,35,29,361,1499,1470,58,673,407,52,4,31,96,120,21,1,2,3,0,2
31,109,Galar,1525,0,1525,1187,7,32,338,1180,1148,211,324,84,215,2,44,22,180,25,4,13,9,2,13
31,110,Gallipienzo - Galipentzu,93,0,93,70,0,2,23,70,68,11,19,11,6,0,5,2,13,0,0,0,0,0,1
31,111,Gallués - Galoze,94,0,94,87,2,3,7,85,82,17,16,4,25,0,1,5,8,0,1,0,0,1,4
