ELECCIONES AL PARLAMENTO DE NAVARRA POR MESAS 1999;;;;;;;;;;;;;;;;;;;

CÓDIGO;MUNICIPIO;DISTRITO;SECCIÓN;MESA;CENSO_ELECTORAL;ABSTENCIONES;V.EMITIDOS;NULOS;V.VÁLIDOS;BLANCOS;A_CAND.;UPN;PSN-PSOE;CDN;IU-EB;EH;EA-EAJ_PNV;EKA;IN
60;BURLADA / BURLATA;2;3;A;456;204;252;2;250;2;248;80;59;15;17;59;12;1;5
60;BURLADA / BURLATA;2;3;B;444;185;259;2;257;10;247;89;47;16;23;58;11;1;2
60;BURLADA / BURLATA;2;4;A;680;304;376;0;376;9;367;125;54;38;34;104;11;0;1
60;BURLADA / BURLATA;2;4;B;650;264;386;0;386;15;371;142;70;31;34;71;15;1;7
60;BURLADA / BURLATA;2;5;A;672;261;411;2;409;7;402;125;97;41;34;86;14;1;4
60;BURLADA / BURLATA;2;5;B;702;264;438;9;429;25;404;136;71;38;43;88;13;3;12
60;BURLADA / BURLATA;2;6;A;443;217;226;1;225;6;219;80;43;11;21;52;5;0;7
60;BURLADA / BURLATA;2;6;B;460;193;267;1;266;3;263;94;56;24;28;48;2;0;11
61;BUSTO (EL);1;1;U;92;20;72;0;72;0;72;30;19;20;0;1;1;0;1
62;CABANILLAS;1;1;A;608;59;549;0;549;9;540;199;297;7;15;15;2;1;4
62;CABANILLAS;1;1;B;590;62;528;2;526;8;518;207;282;6;12;10;0;0;1
63;CABREDO;1;1;U;127;36;91;1;90;2;88;59;12;6;2;6;2;0;1
64;CADREITA;1;1;C;588;92;496;3;493;9;484;176;187;17;33;40;5;0;26
64;CADREITA;1;1;A;537;68;469;5;464;7;457;211;164;14;15;15;3;0;35
64;CADREITA;1;1;B;410;58;352;8;344;7;337;150;114;4;19;15;2;0;33
65;CAPARROSO;1;1;U;717;106;611;2;609;3;606;380;160;22;5;30;8;1;0
65;CAPARROSO;2;1;A;604;63;541;6;535;14;521;240;228;1;8;40;4;0;0
65;CAPARROSO;2;1;B;634;92;542;4;538;10;528;245;220;6;10;40;7;0;0
66;CARCAR;1;1;A;513;76;437;8;429;13;416;211;173;9;9;10;2;1;1
66;CARCAR;1;1;B;565;62;503;3;500;11;489;247;186;21;14;14;4;0;3
67;CARCASTILLO;1;1;A;457;100;357;8;349;14;335;174;88;10;17;37;7;0;2
67;CARCASTILLO;1;1;B;401;90;311;6;305;9;296;129;107;19;11;18;5;0;7
67;CARCASTILLO;1;1;C;311;39;272;3;269;11;258;113;64;6;71;2;0;0;2
67;CARCASTILLO;2;1;A;519;124;395;5;390;17;373;150;128;25;28;25;7;0;10
67;CARCASTILLO;2;1;B;454;101;353;9;344;7;337;150;104;32;23;16;5;2;5
68;CASCANTE;1;1;A;552;106;446;4;442;8;434;199;189;12;17;12;2;3;0
68;CASCANTE;1;1;B;593;141;452;3;449;5;444;183;202;13;23;20;1;1;1
68;CASCANTE;2;1;A;653;141;512;11;501;6;495;266;168;7;29;19;2;1;3
68;CASCANTE;2;1;B;560;116;444;10;434;9;425;180;189;9;27;17;3;0;0
68;CASCANTE;2;1;C;714;138;576;2;574;6;568;259;249;5;33;12;4;4;2
69;CASEDA;1;1;A;469;69;400;4;396;10;386;176;79;68;22;33;5;1;2
69;CASEDA;1;1;B;377;53;324;7;317;8;309;148;69;42;19;27;3;0;1
69;CASEDA;1;1;C;40;6;34;0;34;2;32;22;3;0;5;1;0;0;1
70;CASTEJON;1;1;A;718;186;532;11;521;13;508;185;224;3;70;11;1;0;14
70;CASTEJON;1;1;B;702;162;540;4;536;14;522;169;252;9;64;9;4;0;15
70;CASTEJON;1;2;U;820;212;608;6;602;5;597;238;228;6;95;18;0;0;12
70;CASTEJON;2;1;U;486;135;351;6;345;10;335;128;164;9;25;8;0;0;1
71;CASTILLO-NUEVO;1;1;U;27;5;22;0;22;0;22;8;13;1;0;0;0;0;0
72;CINTRUENIGO;1;1;A;640;164;476;4;472;14;458;283;134;5;16;14;5;0;1
72;CINTRUENIGO;1;1;B;584;151;433;2;431;10;421;251;145;2;11;9;0;2;1
72;CINTRUENIGO;2;1;C;564;143;421;3;418;6;412;245;142;4;8;7;1;1;4
72;CINTRUENIGO;2;1;A;541;127;414;3;411;5;406;203;172;7;12;10;2;0;0
72;CINTRUENIGO;2;1;B;798;165;633;5;628;12;616;339;237;6;19;13;2;0;0
72;CINTRUENIGO;2;2;A;784;193;591;3;588;10;578;369;186;6;13;1;2;0;1
72;CINTRUENIGO;2;2;B;762;165;597;3;594;8;586;380;165;5;21;12;2;0;1
73;ZIORDIA;1;1;U;333;111;222;1;221;5;216;48;18;17;3;112;18;0;0
74;CIRAUQUI;1;1;U;416;93;323;5;318;8;310;120;41;10;25;68;16;29;1
75;CIRIZA;1;1;U;61;16;45;0;45;1;44;19;5;5;2;13;0;0;0
76;CIZUR;1;1;A;592;107;485;4;481;12;469;304;50;49;18;21;25;1;1
76;CIZUR;1;1;B;417;100;317;0;317;11;306;163;28;37;16;47;10;2;3
77;CORELLA;1;1;A;761;143;618;5;613;6;607;413;151;3;24;13;1;0;2
77;CORELLA;1;1;B;736;164;572;10;562;6;556;383;125;3;32;10;2;0;1
77;CORELLA;1;2;A;565;104;461;1;460;2;458;308;115;1;23;6;3;0;2
77;CORELLA;1;2;B;559;94;465;3;462;3;459;334;97;4;17;5;2;0;0
77;CORELLA;1;2;C;720;146;574;2;572;6;566;397;124;5;29;7;3;0;1
77;CORELLA;2;1;A;394;85;309;0;309;1;308;218;66;4;13;3;2;1;1
77;CORELLA;2;1;B;405;107;298;2;296;3;293;216;58;2;7;8;2;0;0
77;CORELLA;2;2;A;667;181;486;4;482;0;482;380;67;5;16;9;2;1;2
77;CORELLA;2;2;B;677;149;528;4;524;6;518;385;104;3;17;5;2;1;1
78;CORTES;1;1;A;541;130;411;6;405;13;392;204;127;9;21;27;0;1;3
78;CORTES;1;1;B;587;108;479;12;467;15;452;216;158;16;16;38;4;0;4
78;CORTES;2;1;A;773;172;601;10;591;12;579;274;222;6;23;43;5;0;6
78;CORTES;2;1;B;805;156;649;15;634;25;609;290;212;13;40;47;1;0;6
79;DESOJO;1;1;U;130;31;99;0;99;1;98;67;9;7;8;3;1;2;1
80;DICASTILLO;1;1;U;620;170;450;2;448;13;435;191;113;20;46;46;9;4;6
81;DONAMARIA;1;1;U;311;26;285;2;283;8;275;83;9;21;4;59;97;1;1
82;ETXALAR;1;1;U;666;174;492;3;489;29;460;112;17;28;10;155;136;0;2
83;ECHARRI;1;1;U;47;15;32;0;32;2;30;20;0;0;2;8;0;0;0
84;ETXARRI-ARANATZ;1;1;A;514;133;381;2;379;5;374;86;7;19;9;153;99;0;1
84;ETXARRI-ARANATZ;1;1;B;395;100;295;2;293;6;287;68;6;15;6;131;59;0;2
84;ETXARRI-ARANATZ;1;1;C;29;7;22;0;22;0;22;0;0;0;0;20;2;0;0
84;ETXARRI-ARANATZ;2;1;A;480;132;348;0;348;2;346;44;8;12;10;206;57;7;2
84;ETXARRI-ARANATZ;2;1;B;475;103;372;10;362;4;358;54;10;7;7;204;75;0;1
85;ETXAURI;1;1;U;360;46;314;5;309;14;295;79;19;42;20;115;18;0;2
86;EGUES;1;1;A;496;131;365;0;365;4;361;232;24;34;14;36;19;0;2
86;EGUES;1;1;B;1.018;275;743;2;741;19;722;367;51;90;42;106;46;0;20
87;ELGORRIAGA;1;1;U;171;27;144;3;141;1;140;45;6;6;2;47;33;0;1
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;A;432;136;296;2;294;15;279;117;34;72;16;34;5;0;1
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;B;549;226;323;4;319;15;304;134;51;28;40;42;6;1;2
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;C;501;215;286;3;283;6;277;111;51;16;41;53;5;0;0
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;A;521;209;312;4;308;15;293;141;41;23;47;33;5;1;2
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;B;580;207;373;8;365;11;354;142;68;35;41;52;7;0;9
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;C;548;189;359;5;354;10;344;145;65;25;52;46;7;2;2
89;ENERIZ;1;1;U;168;31;137;4;133;2;131;79;8;35;4;5;0;0;0
90;ERATSUN;1;1;U;162;43;119;0;119;4;115;38;0;17;5;23;31;1;0
91;ERGOIEN;1;1;U;439;164;275;1;274;5;269;32;16;10;5;162;37;6;1
92;ERRO;1;1;A;261;80;181;1;180;5;175;84;16;31;9;18;7;1;9
92;ERRO;1;1;B;443;125;318;4;314;7;307;118;25;30;17;91;24;0;2
93;EZCAROZ;1;1;U;322;132;190;2;188;4;184;65;47;14;6;46;5;0;1
94;ESLAVA;1;1;U;166;52;114;0;114;5;109;60;23;9;6;7;3;0;1
95;ESPARZA;1;1;U;116;16;100;1;99;1;98;22;28;3;8;30;7;0;0
96;ESPRONCEDA;1;1;U;165;16;149;1;148;11;137;90;17;7;2;18;1;0;2
97;ESTELLA / LIZARRA;1;1;A;413;138;275;3;272;11;261;99;62;9;18;46;23;1;3
97;ESTELLA / LIZARRA;1;1;B;449;165;284;3;281;12;269;122;64;9;19;41;12;1;1
97;ESTELLA / LIZARRA;1;2;A;604;258;346;0;346;8;338;149;69;21;31;43;24;0;1
97;ESTELLA / LIZARRA;1;2;B;587;242;345;10;335;6;329;124;91;14;25;56;18;1;0
97;ESTELLA / LIZARRA;2;1;A;398;186;212;5;207;9;198;60;38;6;14;61;14;2;3
97;ESTELLA / LIZARRA;2;1;B;441;195;246;4;242;5;237;104;43;9;16;53;10;0;2
97;ESTELLA / LIZARRA;2;2;A;533;194;339;4;335;6;329;154;59;8;22;54;23;6;3
97;ESTELLA / LIZARRA;2;2;B;568;222;346;2;344;7;337;146;75;10;32;47;24;2;1
97;ESTELLA / LIZARRA;2;3;A;455;145;310;4;306;2;304;128;66;12;24;49;23;1;1
97;ESTELLA / LIZARRA;2;3;B;454;142;312;2;310;5;305;138;55;18;16;46;26;3;3
97;ESTELLA / LIZARRA;2;4;A;489;159;330;0;330;13;317;126;63;12;19;68;25;2;2
97;ESTELLA / LIZARRA;2;4;B;570;216;354;6;348;11;337;132;76;16;26;45;36;3;3
97;ESTELLA / LIZARRA;2;4;C;489;166;323;1;322;13;309;108;72;19;26;54;28;1;1
97;ESTELLA / LIZARRA;2;5;A;533;165;368;4;364;7;357;188;52;22;24;30;37;0;4
97;ESTELLA / LIZARRA;2;5;B;552;171;381;2;379;6;373;211;53;16;22;41;29;1;0
97;ESTELLA / LIZARRA;2;6;A;516;138;378;4;374;9;365;214;50;20;10;30;38;0;3
97;ESTELLA / LIZARRA;2;6;B;555;150;405;1;404;6;398;225;60;20;19;43;28;1;2
97;ESTELLA / LIZARRA;2;6;C;551;176;375;4;371;4;367;206;57;12;20;25;42;0;5
97;ESTELLA / LIZARRA;2;7;A;403;127;276;1;275;4;271;122;39;6;14;60;28;1;1
97;ESTELLA / LIZARRA;2;7;B;404;123;281;2;279;7;272;131;43;13;23;45;13;3;1
97;ESTELLA / LIZARRA;3;1;U;707;262;445;3;442;9;433;173;84;13;40;71;51;0;1
98;ESTERIBAR;1;1;A;482;167;315;16;299;9;290;132;16;26;23;71;13;1;8
98;ESTERIBAR;1;1;B;462;143;319;5;314;11;303;135;31;37;17;57;23;1;2
98;ESTERIBAR;1;1;C;342;121;221;0;221;5;216;92;24;14;12;60;13;1;0
99;ETAYO;1;1;U;87;8;79;0;79;3;76;47;11;1;7;3;6;0;1
100;EULATE;1;1;U;339;153;186;2;184;4;180;128;15;4;6;17;8;0;2
101;EZCABARTE;1;1;A;518;233;285;5;280;4;276;116;34;33;24;60;9;0;0
101;EZCABARTE;1;1;B;460;160;300;1;299;15;284;116;18;26;14;85;23;1;1
102;EZKURRA;1;1;U;216;112;104;0;104;1;103;24;3;13;1;46;16;0;0
103;EZPROGUI;1;1;U;55;16;39;0;39;3;36;23;7;4;0;1;1;0;0
104;FALCES;1;1;A;519;113;406;9;397;10;387;165;143;14;20;28;6;0;11
104;FALCES;1;1;B;517;118;399;7;392;7;385;141;147;14;35;31;5;0;12
104;FALCES;2;1;A;642;182;460;4;456;9;447;204;134;16;33;44;8;0;8
104;FALCES;2;1;B;552;132;420;4;416;6;410;193;124;10;35;36;4;0;8
105;FITERO;1;1;U;759;92;667;3;664;8;656;406;221;6;7;14;0;0;2
105;FITERO;2;1;A;516;65;451;6;445;4;441;230;199;1;5;4;0;0;2
105;FITERO;2;1;B;525;83;442;6;436;4;432;287;133;3;5;3;1;0;0
106;FONTELLAS;1;1;U;577;84;493;2;491;11;480;226;118;6;11;12;4;0;103
107;FUNES;1;1;A;406;43;363;3;360;4;356;255;69;13;8;4;2;0;5
107;FUNES;1;1;B;370;54;316;3;313;6;307;208;80;5;12;0;0;0;2
107;FUNES;2;1;A;500;74;426;2;424;9;415;295;94;8;6;2;3;1;6
107;FUNES;2;1;B;474;77;397;5;392;4;388;281;77;12;10;4;1;1;2
108;FUSTIÑANA;1;1;A;521;94;427;4;423;13;410;252;122;8;17;7;2;2;0
108;FUSTIÑANA;1;1;B;471;97;374;2;372;12;360;200;124;2;18;9;5;1;1
108;FUSTIÑANA;2;1;A;533;115;418;3;415;12;403;218;153;6;9;11;1;2;3
108;FUSTIÑANA;2;1;B;407;72;335;5;330;7;323;158;137;7;8;9;0;1;3
109;GALAR;1;1;A;416;119;297;5;292;6;286;135;24;25;20;68;10;1;3
109;GALAR;1;1;B;560;199;361;1;360;9;351;131;38;70;38;56;5;1;12
110;GALLIPIENZO;1;1;U;161;72;89;0;89;4;85;36;31;7;1;9;0;0;1
111;GALLUES;1;1;U;114;31;83;0;83;3;80;34;9;11;7;15;3;0;1
112;GARAIOA;1;1;U;118;34;84;0;84;0;84;42;5;4;2;16;15;0;0
113;GARDE;1;1;U;191;87;104;0;104;2;102;41;28;10;4;14;5;0;0
114;GARINOAIN;1;1;U;279;63;216;3;213;1;212;91;43;21;23;19;9;3;3
115;GARRALDA;1;1;U;200;67;133;0;133;3;130;53;3;12;7;41;14;0;0
116;GENEVILLA;1;1;U;119;20;99;0;99;5;94;64;3;2;1;11;11;0;2
117;GOIZUETA;1;1;A;375;101;274;5;269;9;260;11;3;11;2;191;42;0;0
117;GOIZUETA;1;1;B;424;140;284;7;277;4;273;7;3;11;4;184;64;0;0
118;GOÑI;1;1;U;186;76;110;2;108;1;107;45;7;15;15;24;0;0;1
119;GUESA;1;1;U;76;25;51;0;51;3;48;26;6;9;3;2;2;0;0
120;GUESALAZ;1;1;U;428;147;281;0;281;13;268;127;20;31;13;60;8;1;8
121;GUIRGUILLANO;1;1;U;79;16;63;1;62;4;58;22;5;14;8;6;2;0;1
