Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;CDS;99
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;AP;85
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;PSOE;51
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;PDP;22
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;IU;2
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;322;0;0;268;5;3;PTE-UC;1
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;IU;0
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;CDS;0
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;PTE-UC;0
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;AP;0
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;PSOE;0
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;1339;0;0;0;0;0;PDP;0
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;CDS;94
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;AP;83
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;PSOE;32
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;PDP;2
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;IU;1
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;256;0;0;212;0;0;PTE-UC;0
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;CDS;117
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;AP;26
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;PSOE;5
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;PTE-UC;0
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;PDP;0
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;0;0;158;10;0;IU;0
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;CDS;154
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;AP;86
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;PSOE;52
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;PDP;5
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;PTE-UC;5
05-008-1-0001-A;AVILA;008;ALDEASECA;1;0001;A;350;0;0;309;3;0;IU;4
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;CDS;151
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;PSOE;56
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;AP;26
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;IU;2
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;PDP;1
05-010-1-0001-A;AVILA;010;LA ALDEHUELA;1;0001;A;273;0;0;237;0;1;PTE-UC;0
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;PDP;70
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;CDS;57
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;AP;39
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;PSOE;23
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;PTE-UC;0
05-012-1-0001-A;AVILA;012;AMAVIDA;1;0001;A;209;0;0;191;1;1;IU;0
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;AP;344
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;PSOE;302
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;CDS;120
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;IU;38
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;PTE-UC;0
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;990;0;0;808;2;2;PDP;0
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;1497;0;0;1088;6;10;CDS;372
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;1497;0;0;1088;6;10;AP;328
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;1497;0;0;1088;6;10;PSOE;273
