Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;PP;167
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;AIAV;62
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;PSOE;17
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;IU;13
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;TC-PNC;2
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;PB;1
05-001-1-0001-U;AVILA;001;ADANERO;1;0001;U;307;148;227;266;2;1;FE-JONS;1
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;PP;354
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;PSOE;177
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;AIAV;40
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;IU;39
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;TC-PNC;1
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;PB;1
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;775;378;517;626;7;7;FE-JONS;0
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;PP;317
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;PSOE;227
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;IU;47
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;AIAV;35
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;PB;1
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;FE-JONS;0
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;788;407;552;645;3;15;TC-PNC;0
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;PP;149
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;PSOE;40
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;IU;10
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;AIAV;8
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;FE-JONS;0
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;PB;0
05-005-1-0001-U;AVILA;005;ALBORNOS;1;0001;U;242;116;179;210;2;1;TC-PNC;0
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PP;120
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PSOE;14
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;AIAV;8
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;IU;1
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;TC-PNC;0
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;PB;0
05-007-1-0001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;U;175;91;139;147;4;0;FE-JONS;0
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;PP;163
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;PSOE;90
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;IU;13
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;AIAV;7
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;PB;1
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;FE-JONS;0
05-008-1-0001-U;AVILA;008;ALDEASECA;1;0001;U;309;140;225;274;0;0;TC-PNC;0
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PP;168
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PSOE;45
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;AIAV;7
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;IU;4
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;TC-PNC;1
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;PB;0
05-010-1-0001-U;AVILA;010;LA ALDEHUELA;1;0001;U;265;156;209;228;0;3;FE-JONS;0
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;PP;121
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;PSOE;28
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;AIAV;4
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;IU;2
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;PB;1
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;TC-PNC;0
05-012-1-0001-U;AVILA;012;AMAVIDA;1;0001;U;189;94;151;164;5;3;FE-JONS;0
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;PSOE;352
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;PP;351
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;IU;42
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;AIAV;7
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;TC-PNC;3
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;FE-JONS;1
05-013-1-0001-U;AVILA;013;EL ARENAL;1;0001;U;915;538;687;771;7;8;PB;0
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;751;369;493;585;17;14;PP;351
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;751;369;493;585;17;14;PSOE;98
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;751;369;493;585;17;14;IU;52
