Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;956;493;759;814;4;4;IU;22
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;956;493;759;814;4;4;LV;2
05-013-1-0001-A;AVILA;013;EL ARENAL;1;0001;A;956;493;759;814;4;4;FE-JONS;0
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;PP;302
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;PSOE;110
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;CDS;102
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;IU;21
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;LV;5
05-014-1-0001-A;AVILA;014;ARENAS DE SAN PEDRO;1;0001;A;777;345;455;551;5;6;FE-JONS;0
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;PP;243
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;PSOE;112
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;CDS;111
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;IU;32
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;LV;5
05-014-1-0001-B;AVILA;014;ARENAS DE SAN PEDRO;1;0001;B;750;325;417;516;7;5;FE-JONS;1
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;PP;280
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;PSOE;146
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;CDS;137
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;IU;34
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;LV;7
05-014-2-0001-A;AVILA;014;ARENAS DE SAN PEDRO;2;0001;A;815;414;540;608;3;1;FE-JONS;0
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;PP;248
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;PSOE;177
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;CDS;100
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;IU;14
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;LV;2
05-014-3-0001-A;AVILA;014;ARENAS DE SAN PEDRO;3;0001;A;786;320;437;553;11;1;FE-JONS;0
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;PP;196
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;PSOE;193
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;CDS;166
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;IU;27
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;LV;4
05-014-1-0002-A;AVILA;014;ARENAS DE SAN PEDRO;1;0002;A;794;410;516;595;7;2;FE-JONS;0
